电影名,评分,评论
肖申克的救赎,9.7,3031194人评价
霸王别姬,9.6,2240632人评价
阿甘正传,9.5,2258515人评价
泰坦尼克号,9.5,2297833人评价
千与千寻,9.4,2346809人评价
这个杀手不太冷,9.4,2385086人评价
美丽人生,9.5,1382348人评价
星际穿越,9.4,1963498人评价
盗梦空间,9.4,2161238人评价
楚门的世界,9.4,1817388人评价
辛德勒的名单,9.5,1169294人评价
忠犬八公的故事,9.4,1449361人评价
海上钢琴师,9.3,1747041人评价
三傻大闹宝莱坞,9.2,1937586人评价
放牛班的春天,9.3,1372208人评价
机器人总动员,9.3,1376752人评价
疯狂动物城,9.2,2053063人评价
无间道,9.3,1439874人评价
控方证人,9.6,617138人评价
大话西游之大圣娶亲,9.2,1597464人评价
熔炉,9.4,971968人评价
教父,9.3,1018189人评价
触不可及,9.3,1182089人评价
当幸福来敲门,9.2,1582652人评价
寻梦环游记,9.1,1783333人评价
电影名,评分,评论
肖申克的救赎,9.7,3031196人评价
霸王别姬,9.6,2240632人评价
阿甘正传,9.5,2258516人评价
泰坦尼克号,9.5,2297833人评价
千与千寻,9.4,2346813人评价
这个杀手不太冷,9.4,2385086人评价
美丽人生,9.5,1382348人评价
星际穿越,9.4,1963498人评价
盗梦空间,9.4,2161238人评价
楚门的世界,9.4,1817388人评价
辛德勒的名单,9.5,1169294人评价
忠犬八公的故事,9.4,1449361人评价
海上钢琴师,9.3,1747041人评价
三傻大闹宝莱坞,9.2,1937586人评价
放牛班的春天,9.3,1372208人评价
机器人总动员,9.3,1376752人评价
疯狂动物城,9.2,2053063人评价
无间道,9.3,1439874人评价
控方证人,9.6,617138人评价
大话西游之大圣娶亲,9.2,1597468人评价
熔炉,9.4,971968人评价
教父,9.3,1018189人评价
触不可及,9.3,1182089人评价
当幸福来敲门,9.2,1582652人评价
寻梦环游记,9.1,1783333人评价
